Destination,Hotel_ Name,Address,Rate,Price,Image_link,Hotel_link
Cairo,(Private) Atlas International Hotels,"2, Mohamed Roushdi street,",7.1,$97.98 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F2%2F292596%2Fkv655m5wuphl2dqcbpmd&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F292596%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,(Private) New Midtown,8 Gawad Hosny Street,,$53.13 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F3%2F317542%2Fodbanzohya97t6vp29o2&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F317542%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,Victory Of Downtown Hotel,"56 Kasr Al Nile, Al Fawalah, Abdeen, Cairo Downtown, 4th Floor, Cairo",7.6,$61 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F298925073.jpg%3Fk%3D9428c982eb164e58cde27697c0e7c2ac9e80895ed8ad0966b7d02b2c4dc5b0f4%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/victory-of-downtown.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Holy Sheet Hostel,"2 Al Qadi Al Fadel 2nd floor, Abdeen, Cairo",8.8,$64 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F176082176.jpg%3Fk%3D956325bfed8fe58f8a1d5541d70bff3a91a7e75923cacee6be2a86a4fff389de%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/holy-sheet-hostel.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Up Town Hotel,"7 Tahrir Square, Down Town, Cairo",7.7,$58 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F400557965.jpg%3Fk%3D6f233641e6c5b01ea6dee10ac35660737f7b99e37d6d99c1c63f53432fede95a%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/town-gate.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Tahrir Square Hostel,"11 Tahrir Square, Second floor, Next to KFC, Downtown, , Cairo",9.2,$64 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F215523034.jpg%3Fk%3D9553ce4c7969884322db129426f35330f20f513537d75e9062fb247c0251d096%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/tahrir-hostel.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,(Private) Tahrir Square Hostel,"11 Tahrir Square, First floor, Downtown",9.5,$50.80 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F2%2F289722%2F7.JPG&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F289722%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,Madina Hostel,"5 Kasr Al Nile street 10th floor, Cairo",9.2,$73 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F253978598.jpg%3Fk%3D1bb887a4cd76710bb38f1a94bb2ea3c29124504f0c5321105f2716e2eb047a68%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/madina-hostel.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,(Private) Madina Hostel,"5 Kasr Al Nile, Street",9.6,$90.98 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F3%2F307046%2Fprey6tfiy7wckxuy6akt&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F307046%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,(Private) Deluxe Australian Hotel,"Abdelkhalek Tharwat Street, Downtown, Beside Radio",8.1,$53.98 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F2%2F295790%2Fzk2bv0p0ep0kcxsihsz9&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F295790%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,(Private) Champollion Hostel,"22 Mahmoud Bassiouny, Talat Harb Square, Qasr El N",9.1,$60.33 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F3%2F316109%2Fhjrcodpuy8kluovzp1rz&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F316109%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,Museum Plaza,"2 Champollion Road Second Floor., Cairo",8.3,$80 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F470376077.jpg%3Fk%3D8304b793e19c96b917f123c0bb9dcdc28b5513b3de22bc5016c7e901cb56544e%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/museum-plaza.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,(Private) Museum Plaza Hostel,"2 Champollion St , 2nd Floor",2,$57.15 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F3%2F312462%2Fdoybaiuf4g5ih1efybyp&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F312462%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,(Private) Sufi House,"43 Sherif Street, 4th floor",0,$97.99 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F2%2F275481%2Fckxnqjmdvljtvxwgqmmy&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F275481%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,(Private) Golden Palace Hotel,Down town 40 Talaat Harb,5.7,$62.50 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F3%2F307754%2Ffgllw2zkjtg47erunle9&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F307754%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,Nile View Inn,"67 Abdulaziz Al Saud 67, Cairo",8.1,$54 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F292662284.jpg%3Fk%3D3c57a4c347d1c31577ce1095c292f28d98f891fcac395bdd89b548d0f3d4d3a7%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/galaxy-nile-suites.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Jewel Green Mountain Hotel,"19 Green Mountain Buildings, Nasr Road, Nasr City, next to Queen Service Company, Cairo",7.7,$64 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F279280588.jpg%3Fk%3D9e8306a969a1dee1c092780f941a6e5f67ce2c7bbf3a8f2e393b58433b5d1422%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/jewel-green-mountain.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,(Private) Zamalek X Hostel,"140, 26 of july , Zamalek",9.2,$72.20 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F3%2F317001%2Flmlkpdllbwjdtxpoquuh&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F317001%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,Swiss Inn Nile Hotel,"110 El Bahr El Azzam Street, Corniche El Nil, Cairo",6,$87 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F319678910.jpg%3Fk%3Dc44c3cd0dbcb272203ba420feec4ea74a64a077e4adeccec456a6dea0f3f3216%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/swiss-inn-nile.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Nakhil Inn Residence,"3 Al Nakhel, Cairo",8.5,$68 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F192537504.jpg%3Fk%3Db036ecf4cf8d9c59c2e09c167ef3969fe3f92433d538d9401e4919ea723d4169%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/nakhil-residence.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Holidays Express Hotel,"Gamaet El Dowal El Arbia Street, Mohandesin, Cairo",4.5,$64 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F454206725.jpg%3Fk%3D28fae7502560d8282aff03faa1cdb9bcd446d57b641fb65959761eff381bd89a%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/holidays-express.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Amarante Pyramids Hotel,"29 Abou Hazem Street, off Pyramids Road, Cairo",6.7,$84 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F31829338.jpg%3Fk%3Dfb343d99ff2fe989612520cb856f704935b7dffcf088ed2d0607df4164ec6666%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/amarante-pyramids-cairo.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Golden Carven Hotel,"11 Mohamed Ebeid St., Of Nozha St., Cairo",7,$71 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F246921435.jpg%3Fk%3D59a2876df1168bbf4b0a6586a9cc6546cc491b75dd1bae28a450b06f7deec31d%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/the-karvin.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Gawharet Al Ahram Hotel,"103 El Haram St, In Front Of Al Haram Hospital, Cairo",6.9,$70 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F447614057.jpg%3Fk%3D1d33b9af4484ffa0753e74f9ceee50aaeecc807d425bd6d780b4f0e59e56b6f3%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/husa-pyramids.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Jewel Glorious Hotel,"Ibn Al Hakam Square, Cairo",7.1,$88 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F327426741.jpg%3Fk%3Da4804908267523b1cf6e8f3c4633113a9cacbe3d1e156d07af4b839a2af12055%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/glorious.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Brothers Pyramids View Hotel,"Al Mansoureya Road, Cairo",7.8,$64 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F337170046.jpg%3Fk%3D67c8ea2f66ef1e61809175f0e67e3d8ad9effcaca52e166f2a5e906cba834aad%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/brothers-pyramids-view.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Mamlouk Pyramids Hotel,"18 Abo El Houl El Seyahi Street , Haram , Giza, Cairo",8.4,$67 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F367079704.jpg%3Fk%3Df78096d3d78168dd480790ba81536634abd99df31dd883776c77fc24ccbc8712%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/mamluk-pyramids.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Nine Pyramids View Hotel,"Abou Al Hool Al Seiahi 2st, mohamed hassab salam st mansoria haram, Cairo",7.8,$80 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F285060525.jpg%3Fk%3D34dc9ac72b2096643e14894ed5bb9796bdccd1eefe541ddb248efe0496859b82%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/nine-pyramids-view.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Giza Pyramids Inn,"7 sphinx St, pyramids , Cairo",7.8,$69 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F292794397.jpg%3Fk%3D6c656e6d65b0c8f1ba39c6eb04d0e530f2b18641345147556162a46b9bcc284d%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/giza-pyramids-inn.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
